iter	Passed	Remaining
0	237	94759
1	318	63425
2	390	51740
3	469	46453
4	546	43174
5	621	40807
6	695	39032
7	770	37732
8	843	36663
9	918	35829
10	993	35129
11	1068	34556
12	1139	33930
13	1205	33238
14	1272	32666
15	1338	32120
16	1412	31813
17	1480	31414
18	1550	31091
19	1618	30760
20	1687	30447
21	1756	30171
22	1824	29907
23	1892	29649
24	1960	29408
25	2028	29176
26	2093	28922
27	2162	28726
28	2230	28530
29	2299	28362
30	2367	28175
31	2435	28002
32	2504	27853
33	2572	27691
34	2638	27516
35	2719	27502
36	2792	27394
37	2862	27270
38	2931	27131
39	3001	27016
40	3074	26917
41	3143	26792
42	3213	26677
43	3280	26545
44	3349	26421
45	3413	26268
46	3480	26141
47	3548	26019
48	3614	25893
49	3682	25775
50	3752	25680
51	3822	25578
52	3894	25494
53	3971	25445
54	4040	25345
55	4113	25268
56	4184	25181
57	4258	25111
58	4328	25015
59	4402	24946
60	4477	24884
61	4551	24815
62	4624	24735
63	4699	24669
64	4780	24635
65	4863	24610
66	4945	24580
67	5029	24555
68	5118	24555
69	5209	24557
70	5337	24732
71	5454	24846
72	5544	24838
73	5630	24803
74	5716	24771
75	5791	24690
76	5871	24628
77	5954	24581
78	6028	24493
79	6105	24422
80	6182	24348
81	6267	24305
82	6365	24311
83	6458	24296
84	6576	24371
85	6669	24351
86	6751	24289
87	6848	24279
88	6960	24323
89	7062	24325
90	7158	24307
91	7250	24274
92	7340	24233
93	7434	24202
94	7518	24138
95	7609	24096
96	7694	24036
97	7782	23982
98	7868	23924
99	7957	23871
100	8040	23803
101	8127	23745
102	8208	23668
103	8314	23663
104	8424	23668
105	8514	23616
106	8620	23606
107	8721	23581
108	8814	23533
109	9013	23764
110	9124	23756
111	9227	23727
112	9327	23690
113	9435	23670
114	9538	23637
115	9640	23602
116	9743	23568
117	9839	23514
118	9946	23486
119	10045	23439
120	10145	23394
121	10243	23342
122	10331	23267
123	10419	23192
124	10503	23107
125	10586	23021
126	10667	22931
127	10753	22851
128	10834	22761
129	10918	22677
130	11001	22591
131	11087	22510
132	11168	22421
133	11255	22343
134	11344	22268
135	11430	22187
136	11511	22098
137	11592	22008
138	11673	21919
139	11759	21838
140	11847	21762
141	11939	21693
142	12020	21603
143	12103	21518
144	12193	21443
145	12279	21362
146	12373	21295
147	12456	21209
148	12542	21129
149	12625	21042
150	12712	20963
151	12794	20875
152	12876	20787
153	13003	20771
154	13097	20702
155	13178	20612
156	13260	20523
157	13347	20444
158	13432	20360
159	13523	20284
160	13612	20206
161	13700	20127
162	13790	20051
163	13885	19981
164	13978	19909
